time,area
Feb_13_17_59_04,0.6085300837776085
Feb_13_18_32_08,0.6135889163029037
Feb_13_19_05_13,0.6087452471482889
Feb_13_19_38_16,0.622141768292683
Feb_13_20_11_21,0.6252619546580301
Feb_13_20_44_23,0.6157056145675266
Feb_13_21_17_27,0.625284306292646
Feb_13_21_50_30,0.6501618739287754
Feb_13_22_23_33,0.6757270480897168
Feb_13_22_56_36,0.6860288534548217
Feb_13_23_29_38,0.6532978521193691
Feb_14_00_02_42,0.6876070816676185
Feb_14_00_35_45,0.6726686884003032
Feb_14_01_08_49,0.686099506266616
Feb_14_01_41_52,0.703130966017564
Feb_14_02_14_54,0.6921313980137509
Feb_14_02_47_57,0.6615590882972611
Feb_14_03_21_00,0.6842004955212502
Feb_14_03_54_02,0.6910197869101978
Feb_14_04_27_05,0.682889733840304
Feb_14_05_00_08,0.6863419293218721
Feb_14_05_33_11,0.6848715509039011
Feb_14_06_06_15,0.680273400417695
Feb_14_06_39_19,0.6760160274756726
Feb_14_07_12_22,0.6655887388244245
Feb_14_07_45_26,0.6447268588770865
Feb_14_08_18_30,0.6416097190584662
Feb_14_08_51_34,0.6744851258581236
Feb_14_09_24_38,0.685557240333586
Feb_14_09_57_43,0.6937381404174574
Feb_14_10_30_47,0.6700952380952381
Feb_14_11_03_51,0.6731827671284873
Feb_14_11_36_53,0.6974885844748858
Feb_14_12_09_56,0.674609226077011
Feb_14_12_42_59,0.6713525835866261
Feb_14_13_16_03,0.7196119459767929
Feb_14_13_49_06,0.7074003795066415
Feb_14_14_22_09,0.688192586931601
Feb_14_14_55_12,0.6890995260663508
Feb_14_15_28_19,0.7147733737910107
Feb_14_16_01_26,0.7003616980772892
Feb_14_16_42_36,0.6855016894702175
Feb_14_17_15_39,0.6706416808631459
Feb_14_17_48_43,0.6700661000944287
Feb_14_18_21_46,0.6992980459115918
Feb_14_18_54_49,0.7378014049743686
Feb_14_19_27_53,0.7758849138746924
Feb_14_20_00_57,0.7669829222011385
Feb_14_20_34_01,0.7978763746681835
Feb_14_21_07_05,0.7873552306816024
Feb_14_21_40_09,0.8045868081880212
Feb_14_22_13_13,0.7825757575757576
Feb_14_22_46_16,0.7815506508205998
Feb_14_23_19_20,0.788952380952381
Feb_14_23_52_23,0.7893448795180723
Feb_15_00_25_26,0.8277957091323334
Feb_15_00_58_29,0.8191791185927748
Feb_15_01_31_34,0.8399848685454889
Feb_15_02_04_37,0.8010976532929599
Feb_15_02_37_41,0.8270249810749433
Feb_15_03_10_45,0.8260704091341577
Feb_15_03_43_49,0.8632494798562512
Feb_15_04_16_53,0.8306757782839788
Feb_15_04_49_56,0.8360500379075056
Feb_15_05_23_00,0.8529299847792998
Feb_15_05_56_04,0.8453569410435111
Feb_15_06_29_08,0.9147565826861147
Feb_15_07_02_11,0.8966957842764907
Feb_15_07_35_15,0.8817285822592873
Feb_15_08_08_18,0.8577142857142858
Feb_15_08_41_23,0.8690363048850029
Feb_15_09_14_26,0.8183538315988647
Feb_15_09_47_31,0.8582216348876722
Feb_15_10_20_38,0.862317466337948
Feb_15_10_53_41,0.8497350492051476
Feb_15_11_26_45,0.80420773313116
Feb_15_11_59_50,0.8320290131704525
Feb_15_12_32_54,0.8551606158524996
Feb_15_13_05_57,0.8772063010058834
Feb_15_13_39_02,0.8619438609891159
Feb_15_14_12_06,0.8872409203270584
Feb_15_14_45_10,0.8901931086709579
Feb_15_15_18_13,0.8859682299546142
Feb_15_16_05_01,0.8862320194283579
Feb_15_16_38_05,0.9150819054791941
Feb_15_17_11_09,0.9180636654737239
Feb_15_17_44_13,0.938528466048799
Feb_15_18_17_17,0.9062736205593349
Feb_15_18_50_21,0.9583647324792766
Feb_15_19_23_25,0.9738388625592417
Feb_15_19_56_29,0.9588911936639638
Feb_15_20_29_32,0.9782608695652174
Feb_15_21_02_37,0.9832138815541305
Feb_15_21_35_41,0.9771698113207546
Feb_15_22_08_45,0.993020184870779
Feb_15_22_41_48,0.9836589030803907
Feb_15_23_14_52,0.9614371708051166
Feb_15_23_47_55,1.0290456431535269
Feb_16_00_20_59,1.0453510436432638
Feb_16_00_54_03,1.075357950263753
Feb_16_01_27_06,1.0569977426636568
Feb_16_02_00_10,1.0704464117536259
Feb_16_02_33_13,1.0452376407711395
Feb_16_03_06_17,1.0666034155597723
Feb_16_03_39_20,1.0789423984891406
Feb_16_04_12_25,1.1045283018867924
Feb_16_04_45_29,1.070112103363101
Feb_16_05_18_32,1.034294328245713
Feb_16_05_51_36,1.087689393939394
Feb_16_06_24_41,1.0652009097801365
Feb_16_06_57_45,1.0488446364831863
Feb_16_07_30_50,1.0249812171299775
Feb_16_08_03_54,1.038963495365992
Feb_16_08_36_59,1.0242562061777525
Feb_16_09_10_04,1.0045420136260408
Feb_16_09_43_07,1.0130434782608697
Feb_16_10_16_13,1.024900962082626
Feb_16_10_49_16,1.0092278719397363
Feb_16_11_22_19,0.9807365439093482
Feb_16_11_55_23,1.0444907232109049
Feb_16_12_28_27,1.006222892702244
Feb_16_13_01_30,1.0038051750380517
Feb_16_13_34_33,1.0183226293917642
Feb_16_14_07_36,1.0526912181303116
Feb_16_14_40_38,1.0186510926902788
Feb_16_15_13_42,1.1035067873303168
Feb_16_15_46_44,1.088007554296506
Feb_16_16_19_47,1.1147324792765636
Feb_16_16_52_51,1.1507159005275056
Feb_16_17_58_59,1.1727996357415558
Feb_16_18_32_01,1.1948833709556057
Feb_16_19_21_49,1.227821819554549
Feb_16_19_54_53,1.1934574168076706
Feb_16_20_27_58,1.2193098246275693
